20
H	-0.4636	-0.2369	 1.6961	 0.1000
N	-0.5188	-0.2435	 1.5291	 0.0500

LS	-0.6252	 0.0060	 1.3994	 0.0900
LE	-0.6464	 0.1175	 1.1762	 0.0750
LW	-0.5214	 0.2258	 0.9465	 0.0500
LP	-0.5000	 0.2253	 0.8751	 0.0750

RS	-0.5066	-0.4242	 1.3826	 0.0900
RE	-0.5012	-0.5687	 1.1636	 0.0750
RW	-0.3964	-0.5391	 0.9404	 0.0500
RP	-0.3995	-0.5390	 0.8706	 0.0750

LH	-0.5490	-0.1345	 1.0932	 0.1000
LPE	-0.4609	-0.1247	 0.9436	 0.1000
LK	-0.2394	 0.0921	 0.8698	 0.0750
LA	-0.5213	 0.0145	 0.4486	 0.0500
LF	-0.5035	 0.0508	 0.3816	 0.0500

RH	-0.5304	-0.3154	 1.0922	 0.1000
RPE	-0.5863	-0.3236	 0.9489	 0.1000
RK	-0.5818	-0.3192	 0.5074	 0.0750
RA	-0.6288	-0.2860	 0.0610	 0.0500
RF	-0.6267	-0.3227	 0.0238	 0.0500

28
H	N
N	LS
N	RS
N	LH
N	RH
LS  RS
LS	LH
LS	RH
RS	LH
RS	RH
LH	LPE
LH	RPE
RH	LPE
RH	RPE
LH  RH
LPE RPE
LS	LE
LE	LW
LW	LP
RS	RE
RE	RW
RW	RP
LPE	LK
LK	LA
LA	LF
RPE	RK
RK	RA
RA	RF
