20
H	 0.0000	 0.0000	 1.8000	 0.2000
N	 0.0000	 0.0000	 1.6000	 0.1000

LS	 0.0000	 0.2000	 1.6000	 0.1500
LE	 0.0000	 0.5000	 1.6000	 0.1000
LW	 0.0000	 0.8000	 1.6000	 0.1000
LP	 0.0000	 0.9000	 1.6000	 0.1000

RS	 0.0000	-0.2000	 1.6000	 0.1500
RE	 0.0000	-0.5000	 1.6000	 0.1000
RW	 0.0000	-0.8000	 1.6000	 0.1000
RP	 0.0000	-0.9000	 1.6000	 0.1000

LH	 0.0000	 0.1300	 1.1000	 0.1000
LPE	 0.0000	 0.1300	 0.9000	 0.1000
LK	 0.0000	 0.1300	 0.5000	 0.1000
LA	 0.0000	 0.1300	 0.0000	 0.1000
LF	 0.1000	 0.1300	 0.0000	 0.1000

RH	 0.0000	-0.1300	 1.1000	 0.1000
RPE	 0.0000	-0.1300	 0.9000	 0.1000
RK	 0.0000	-0.1300	 0.5000	 0.1000
RA	 0.0000	-0.1300	 0.0000	 0.1000
RF	 0.1000	-0.1300	 0.0000	 0.1000

27
H	N
N	LS
N	RS
N	LH
N	RH
LS	LH
LS	RH
RS	LH
RS	RH
LH	LPE
LH	RPE
RH	LPE
RH	RPE
LH  RH
LPE RPE
LS	LE
LE	LW
LW	LP
RS	RE
RE	RW
RW	RP
LPE	LK
LK	LA
LA	LF
RPE	RK
RK	RA
RA	RF
